sku;item_id;titulo;status;preco;estoque;custo;imposto
SFYARA140_VELUDO_CINZA;MLB5163319305;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Grafite 140cm;active;1336.99;9999;650,00;7,0%
SFYARA140_VELUDO_MARROM;MLB5163511917;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Marrom 140cm;active;1336.99;9998;650,00;7,0%
SFBENY180_LINHO_BEGE;MLB5163518821;Sofá 3 Lugares Beny 180cm Retratil Moderno Sala Estar Luxo Puff Poltrona Pufe Bege;active;1499.0;9997;610,00;7,0%
SFYARA180_VELUDOAZUL;MLB5163848249;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Azul;active;1799.0;10000;762,00;7,0%
SFYARA180_VELUDOBEGE;MLB5163903435;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Bege;active;1799.0;10000;762,00;7,0%
SFYARA180_VELUDOMARROM;MLB5163903437;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Marrom;active;1799.0;10000;762,00;7,0%
SOFAYARA-CINZA180;MLB5163903439;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Cinza;active;1799.0;10000;762,00;7,0%
SFYARA180_VELUDOTERRACOTA;MLB5163903441;Sofa Cama Capitonet Sala Tv Tecido Suede Madeira Eucalipto Terracota;active;1799.0;10000;762,00;7,0%
POLTRONABENY-BEGE;MLB5164133339;Poltrona Beny Pés E Base Em Madeira Linho Facilita Brasil Bege Linho;paused;799.99;1000;350,00;7,0%
SFMOBLY180_VELUDOPRETO;MLB5166746541;Sofa Cama 1 80 Preto Megmobilia Confort Divino Retrátil Moderno Reclinavel Moderno Confortavel Direto Da Fabrica Liso;active;1799.0;10000;;
SFMILAO180_CORINOPRETO;MLB5168161049;Puff Sofa Orgânico Off Poltrona Sofisticado Decorativo Preto;active;1524.47;1500;;
SFMOBLY180_VELUDOCINZA;MLB5169655315;Sofá Cama Cinza Confort Divino Retrátil Reclinável Moderno Confortável Direto De Fabrica Sala Estar Hall Espera Liso;active;1526.99;9998;;
SFMILAO180_PRETO;MLB5170213749;Sofá Beny 180cm Estofado Confortável Madeira Forte Sala C/ A Preto Liso;active;1500.0;999;;
SFYARA140_VELUDOBEGE;MLB5171648627;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Bege 140cm;active;1336.99;9999;650,00;7,0%
SOFAYARAFORNEC-MARROM140;MLB5171687703;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Marrom 140cm;under_review;1336.99;1500;650,00;7,0%
SOFAYARAFORNEC-MARROM140;MLB5171687705;Sofá Cama Reclinável Yara Suede Capitonê Sala Tv Hall Entrada Restaurante Apartamento Recepção Decorativo Moderno Leve Grafite 140cm;under_review;1336.99;15000;650,00;7,0%
SFMANU_CINZA;MLB5172322149;Puff Namoradeira 2 Lugares 145cm Linho Premium Cinza;active;1055.0;1500;;
SOFANUVEM-BEGE;MLB5172334545;Puff Namoradeira 2 Lugares 145cm Linho Premium Bege;active;1055.0;1500;550,00;7,0%
SFYARA140_VELUDOMARROM;MLB5172926945;Sofá Yara Suede Bege Sala Recepção Decorativo Moderno Leve Marrom Capitonê;active;1336.99;1500;650,00;7,0%
SFYARA140_VELUDOCINZA;MLB5172926949;Sofá Yara Suede Bege Sala Recepção Decorativo Moderno Leve Cinza Capitonê;active;1336.99;15000;650,00;7,0%
ESCME4153AZUL;MLB5174068651;Escrivaninha Mesa Gamer Para Computador Pc Dois Andares Com Espaço Com Monitores E Cpu Escritório, Quarto Espaçoso Cor Azul Preto/azul Preto/azul;active;600.9;55;192,00;7,0%
KIT2POLTRONASMONA-CINZA;MLB5174090835;Conjunto 2 Poltronas Decorativa Mona Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Cinza Claro;active;1536.99;9992;680,00;7,0%
POLTBENY_LINHOBEGE;MLB5174104333;Poltrona Decorativa Beny Para Recepção Sala Escritório Cor Bege 201 Desenho Do Tecido Linho;active;899.0;10000;350,00;7,0%
KIT2POLTRONAMONA-BEGE;MLB5174107161;Kit 2 Poltrona Confortável Premium Mona Estofada Decorativa Tecido Linho Cor Bege Com Pés Madeira Para Sala Estar Recepção - V88 Ecommerce Liso;active;1112.49;9997;680,00;7,0%
KIT2POLTRONASMONACORINO-CARAMELO;MLB5174110641;Conjunto - 2 Poltronas Mona Luxo Madeira Maciça Castellar Cor Corino Caramelo;active;1530.0;9987;680,00;7,0%
POLTMONA_LINHOCINZA;MLB5174159871;Poltrona Mona Luxo Madeira Maciça Tecido Linho Cinza;paused;805.99;9996;340,00;7,0%
POLTRONANUVEMCONFORT-CINZA;MLB5174164677;Poltrona Cheisselonge Premium Cinza Em Brim Para Sala E Escritório Liso;active;979.02;9997;350,00;7,0%
SFBENY180_LINHOCINZA;MLB5174170443;Sofá Beny Estofado Quadrado Forte Leve Sala Estar Luxo Grafite Liso;active;1559.99;9994;610,00;7,0%
SFBENY180_LINHO_BEGE;MLB5174171519;Sofá Beny Barbearia Recepção Decorativo Moderno Bege Claro Bege Liso;active;1499.0;9997;610,00;7,0%
SFBENY180_LINHOBEGE;MLB5174171523;Sofá 3 Lugares Beny 180cm Retratil Moderno Sala Estar Luxo Puff Poltrona Pufe Bege;active;1499.0;9997;610,00;7,0%
SFBENY180-VELUDOPRETO;MLB5174182313;Facilita Facilita Brasil Modena Bari Sofá 1 2 Preto Liso;active;1429.0;9987;;
SFBENY180_CORINOPRETO;MLB5174185133;Sofá Beny 180cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso Preto Liso;active;945.74;9994;610,00;7,0%
SFBENY180_CINZA;MLB5174186303;American Wood Megmobilia Sofa Requinte Namoradeira Linho Poltrona Cinza/grafite Liso;active;899.22;9993;;
SFBENNY180_LINHO_AZUL;MLB5174189551;Sofá Beny Linho Azul Futon Recepção Decorativo Moderno Forte Azul Liso;active;1380.99;9999;;
SFBENY180_LINHOAZUL;MLB5174189569;Sofá Beny Linho Tecido Premium Macio Sala Escritório Costura Indiana Azul 180cm Confortável Facil Limpeza Durável Liso;active;1380.99;9999;;
SOFACAMA-BEGE180;MLB5174192987;Sofá Cama Bege Suede Reclinável Estofado Sala Leve Madeira Sala De Espera Tv Hall Entrada Restaurante Leve 184cm Liso;active;1485.12;9992;747,00;7,0%
SFMILAO140_CORINOCARAMELO;MLB5174195771;Pufe Sofá-corino Loja Barbearia Casa-sala Sofisticado Luxo Cor Caramelo;active;1390.0;9992;500,00;7,0%
POLTGRECIA_BOUCLECRU;MLB5174303097;Puf Orgânico Off Estilo-poltrona Sofisticado Luxo Decorativo Branco;active;707.36;6216;340,00;7,0%
SFBENNY180_LINHO_VERDE;MLB5175387145;Sofá Beny Barbearia Recepção Decorativo Moderno Verde Linho Verde Liso;active;1383.99;9999;;
POLTMANU_LINHO_BEGE;MLB5178423997;Poltrona Decorativa Estofada Para Sala Confortável Com Almofada Solta Design Moderno Em Brim Bege Liso;active;940.0;10000;;
KIT2POLTRONASMONA-CINZA;MLB5661124288;Conjunto 2 Poltronas Decorativa Mona Sala De Estar E Recepção Com Pés Em Madeira Maciça Cor Linho Cinza Claro;active;1536.99;9992;680,00;7,0%
;MLB5696570996;Kit 2poltrona Decorativa Pémadeira Sofisticada Recepção Luxo;active;1239.99;20000;680,00;7,0%
;MLB5781340396;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp;closed;1239.0;20000;;
POLTBENY_LINHOCINZA;MLB5823429926;Poltrona Benny Pés Base Madeira Linho Cotton Para Sala Cinza;active;891.99;9998;350,00;7,0%
POLTRONAMONACORINO-PRETO;MLB5823454836;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Corino Preto Variadas;paused;1040.9;9954;340,00;7,0%
POLTMONA_LINHOBEGE;MLB5824105666;Poltrona Decorativa Luxo Mona Madeira Maciça Cores Cor Linho Bege;active;932.99;9974;340,00;7,0%
POLTRONAMONA-CINZA;MLB5830423398;Poltrona Mona Pés Em Madeira Tecido Veludo Cinza;paused;830.0;10000;340,00;7,0%
SFMILAO140_CORINOCARAMELO;MLB5836742752;Pufe Sofá-corino Loja Barbearia Casa-sala Sofisticado Luxo Cor Caramelo;active;1390.0;9992;500,00;7,0%
POLTMONA_VELUDOAZUL;MLB5946558910;Castellar Mobile Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Veludo Azul Variadas;active;921.9;9993;340,00;7,0%
KIT2POLTMONA_LINHOBEGE;MLB6016706776;Conjunto Com 2 Poltronas Bella Design Poltrona Mona Cor Bege Linho;active;1430.0;9999;680,00;7,0%
POLTGRECIA_LINHOCAPUCCINO;MLB6093665096;Puff Grécia Estilo Poltrona Confortável Sala Tv Espera Leve Cappuccino;active;860.9;10000;340,00;7,0%
POLTGRECIA_LINHOCAPUCCINO;MLB6093846820;Puff Poltrona Grécia Orgânica Com Design Elegante Luxo Cappuccino;active;708.34;3425;340,00;7,0%
SFBENY140_CORINOPRETO;MLB6142882650;Puff Sofá Beny 140cm Corino Confortável Madeira Tv Sala Leve Preto;active;1599.99;10000;580,00;7,0%
SFMOBLY180_MARROM;MLB6211090412;Sofá-cama Facilita Brasil 1 80 Marrom Confort Divino Retrátil Moderno Confortável Direto Da Fabrica Design Luxo Liso;active;1640.0;9977;;
KIT2POLTMONA_LINHOCINZA;MLB6219810452;Conjunto 2 Poltronas Decorativa Mona Luxo Pés Em Madeira Maciça Cor Linho Cinza Direto Da Fabrica Facilita Brasil Liso;active;1229.0;10000;680,00;7,0%
SOFACAMA-AZUL180;MLB6230926776;Sofá-cama Megmobilia Sofa Cama 1 80 Azul Confort Tecido Nobre Loja Da Fabrica Divino Retrátil Moderno Reclinável Confortável Design Luxo Azul-marinho Liso;paused;1539.98;9986;747,00;7,0%
SFBENY180_CINZA;MLB6231185472;American Wood Megmobilia Sofa Requinte Namoradeira Linho Poltrona Cinza/grafite Liso;active;1430.0;9993;;
SOFABENY-BEGE140;MLB6235844264;Sofá Pequeno 2 Lugares Amale Home De Linho Cru Para Apartamento Moderno Com Base De Madeira E 2 Almofadas Decorativas;paused;1429.99;9988;580,00;7,0%
POLTBENY_LINHOPRETO;MLB6410008096;Poltrona Beny Linho Pés E Base Madeira Luxo Com 2 Almofadas Cor Preto Desenho Do Tecido Liso;active;899.0;9999;350,00;7,0%
POLTRONAMONA-BEGE;MLB6712960192;Poltrona Decorativa Mona Luxo Madeira Maciça Desenho Do Tecido Linho Bege Claro Variadas;paused;939.0;9975;340,00;7,0%
SFMOBLY180_VELUDOCINZA;MLB6717022002;Sofá Cama 180 Cinza Suede Reclinável Estofado Sala Leve Cinza Liso;active;1221.14;9992;;
SFMOBLY180_PRETO;MLB6717142616;Sofá Cama 180 Preto Suede Reclinável Estofado Sala Leve Preto Liso;active;1430.0;9994;;
PUFFELEGANCE_LINHO/CORINOCINZA;MLB6717444126;Puff Elegance Redondo Confortável Compacto Estofado Leve Cinza/preto;active;699.0;9998;340,00;7,0%
KIT4CADEIRASSUITS-FENDI;MLB6731568242;Kit 4 Cadeira Suits Nude Sala Jantar Restaurante Cozinha Suits Nude;paused;1130.0;10000;508,00;7,0%
KIT4CADEIRASSUITS-NUDE;MLB6731997422;Cadeira Suits Nude Sala Jantar Restaurante Gourmet - Kit 4 Liso;paused;930.9;10000;508,00;7,0%
KIT4CADEIRASSUITS-FENDI;MLB6732461612;Kit 4 Cadeira Suits Fendi Sala Jantar Restaurante Cozinha Suits Fendi;paused;1230.0;10000;508,00;7,0%
KIT4CADEIRASSUITSPRETA;MLB6732519444;Kit 4 Cadeira Suits Preta Sala Jantar Área Lazer Restaurante Liso Preto;under_review;940.0;10000;508,00;7,0%
SFBENY180_LINHOCINZA;MLB6756161546;Sofá Estofado Moderno Para Sala Confortável Com Estrutura E Pés De Madeira Cinza;active;1699.0;9972;610,00;7,0%
SFMILAO140_CORINOCARAMELO;MLB6761563794;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Caramelo;active;1239.0;9990;500,00;7,0%
SFMILAO140_CORINOPRETO;MLB6761563796;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Preto;active;1239.9;9984;500,00;7,0%
KIT2POLTMONA_CORINO_CARAMELO;MLB6762214894;Conjunto - 2 Poltronas Mona Luxo Madeira Maciça Castellar Cor Corino Caramelo;active;1530.0;9987;;
POLTBENY_LINHO_CINZA;MLB6777799700;Poltrona Beny Tecido Linho Leve Quadrada Decorativa Sala Grafite Liso;active;889.0;10000;350,00;7,0%
POLTBENY_LINHOCRU;MLB6782525936;Poltrona Beny Pés E Base Em Madeira Linho Cotton Cru Liso;active;899.0;10000;350,00;7,0%
POLTBENY_LINHOBEGE;MLB6783558400;Poltrona Decorativa Beny Para Recepção Sala Escritório Cor Bege 201 Desenho Do Tecido Linho;active;899.0;10000;350,00;7,0%
POLTGRECIA_LINHO_CINZA;MLB6801464762;Puff Orgânico Estilo Poltrona Grécia Em Linho Premium Cinza;active;925.0;10000;340,00;7,0%
KIT2PUFFGRECIA_LINHOBEGE;MLB6801469560;Puf Kit-organico Estilo-poltrona Sofisticado Decorativo Luxo Bege;active;1460.0;9997;680,00;7,0%
POLTEROS_CORINOBEGE;MLB6807893092;Poltrona Papai Reclinável Sala Bege Conforto Máximo Leve Bege Liso;active;1120.0;9998;480,00;7,0%
SFMOBLY180_AZULTURQUESA;MLB6808480140;Sofá Cama Casal Queen Reclinável De 3 Lugares, Moderno, Com Pés Em Madeira Maciça E Suede Azul Turquesa Liso;active;1123.49;9999;;
POLTMANU_LINHO_CINZA;MLB6808610576;Poltrona Nuvem Confort Sala Leve Barbearia Restaurante Leve Cinza Liso;active;940.0;9997;;
PUFFELEGANCE_CINZA;MLB6809395260;Poltrona Elegance Estofado Tecido Macio Confortável Puff Cinza/preto Liso;active;730.0;10000;;
POLTGRECIA_LINHO_BEGE;MLB6837280758;Puff Redondo Grande Estofado 74cm Para Sala Decorativo Com Estrutura De Madeira Confortável Bege;active;805.99;10000;340,00;7,0%
POLTEROS_CORINOPRETO;MLB6837894802;Poltrona Papai Couro Eros Reclinável Sala Tv Estar Conforto Preto Facilita Brasil Liso;active;1020.0;9995;480,00;7,0%
POLTEROS_CORINO_CAFE;MLB6837942694;Poltrona Café Papai Couro Eros Reclinável Sala Tv Estar Conforto Facilita Brasil Liso;active;1199.9;9997;480,00;7,0%
SFMILAO140_CORINO_PRETO;MLB6854035896;Gf8 Ecommerce - Sofá Decorativo Estofado Courino Com Almofadas Barato Pequeno Para Sala De Recepção Clinica Preto Liso;active;1360.0;9997;500,00;7,0%
SFBENY180_LINHOCINZA;MLB6855215224;Sofá Beny Estofado Quadrado Forte Leve Sala Estar Luxo Grafite Liso;active;1559.99;9994;610,00;7,0%
POLTGRECIA_LINHOCINZA;MLB6856245090;Puff Grecia Estofado Conforto Redondo Sala Estar Escritório Recepção Hall Cinza Brim Linho;active;749.99;10000;340,00;7,0%
SFBENY140_LINHO_CINZA;MLB6857452438;Sofá Conforto Beny 140cm Retratil Moderno Sala Estar Luxo Cinza Liso;active;1440.99;10000;580,00;7,0%
SFMOBLY180_VELUDOMARROM;MLB6858113344;Sofá Cama Forte Suede Reclinável Estofado Sala Leve Madeira Marrom Liso;paused;1629.99;9998;;
KIT4CADEIRASSUITS-FENDI;MLB6917913198;Kit 4 Cadeira Suits Nude Sala Jantar Restaurante Cozinha Suits Nude Bege;paused;1130.0;10000;508,00;7,0%
SFBENY140_LINHO_BEGE;MLB6918815648;Puff Sofa Sala Tv Luxo Sofisticado Elegante Linho Bege Hall Restaurante Casa Apartamento;active;1430.0;9999;580,00;7,0%
SFMOBLY180_VELUDOTERRACOTA;MLB6936131300;Sofá Cama Forte Suede Reclinável Estofado Sala Leve Madeira Terracota Liso;active;1390.0;9999;;
MSCADEESCRITOPRETO;MLB6946075302;Cadeira Presidente Facilita Brasil C310 Ergonômica Giratória Com Encosto Reclinável Preto Malha;paused;699.0;9987;160,00;7,0%
KIT2POLTRONAMONA-BEGE;MLB6947668652;Kit 2 Poltrona Confortável Premium Mona Estofada Decorativa Tecido Linho Cor Bege Com Pés Madeira Para Sala Estar Recepção - V88 Ecommerce Liso;active;995.5;9997;680,00;7,0%
